TS, DPE, VALUE
13-10-2017 01:39:30.33100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,2.3360187314906744E-002
13-10-2017 01:39:30.33100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,-2.3360187314906744E-002
13-10-2017 01:39:31.33600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:39:31.33600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,3.0E+001
13-10-2017 01:39:31.33600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:39:41.36400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,3.1E+001
13-10-2017 01:39:41.36400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:39:41.36400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:39:45.88600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:39:45.88600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,3.1146916419875659E-002
13-10-2017 01:39:45.88600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,-3.1146916419875659E-002
13-10-2017 01:39:45.88600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,6.2293832839751317E-002
13-10-2017 01:39:45.88600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:39:46.89100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,3.2E+001
13-10-2017 01:39:46.89100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
